Frequency[GHz],Transmittance
34.0,-17.329822792389578
34.12712712712713,-21.84959127586024
34.254254254254256,-20.588836572103677
34.38138138138138,-18.144102627158013
34.508508508508505,-19.3478298226094
34.63563563563564,-24.29925179947158
34.76276276276277,-23.98865958168221
34.88988988988989,-22.694239386681755
35.01701701701702,-30.29128252074981
35.14414414414414,-37.4854423131711
35.271271271271274,-21.352786940646023
35.3983983983984,-23.429451358451967
35.52552552552553,-19.307503136504614
35.65265265265265,-21.418572721525933
35.77977977977978,-19.146373595415884
35.90690690690691,-22.736217196558414
36.034034034034036,-38.36413183187608
36.16116116116117,-22.686695275564954
36.288288288288285,-17.429220612597895
36.41541541541542,-18.733440987356488
36.54254254254254,-22.892937728272834
36.66966966966967,-21.024776132459525
36.7967967967968,-26.16260090017706
36.92392392392393,-27.11643131020329
37.05105105105105,-18.78610203206108
37.17817817817818,-20.403291632292667
37.30530530530531,-19.629844441015663
37.432432432432435,-21.58844596723857
37.55955955955957,-27.959254938174738
37.686686686686684,-23.803875302915717
37.813813813813816,-26.3740666821038
37.94094094094094,-18.421734150222612
38.06806806806807,-24.93564278973966
38.1951951951952,-21.1375318208183
38.32232232232232,-15.593331722487092
38.44944944944945,-17.98004730234249
38.57657657657658,-20.26121459666421
38.70370370370371,-19.352495672124235
38.830830830830834,-16.282116835812083
38.957957957957966,-18.20581648931386
39.08508508508508,-21.783899646987503
39.212212212212215,-36.67344229678291
39.33933933933934,-19.91433281112289
39.46646646646647,-19.630074990102436
39.5935935935936,-19.373661792573003
39.72072072072072,-22.18673281726716
39.84784784784785,-20.475795604308335
39.97497497497498,-17.347245964082834
40.10210210210211,-17.77854514394738
40.22922922922923,-16.12085528374219
40.35635635635636,-37.10821143052922
40.48348348348348,-19.32271964451397
40.610610610610614,-18.62714896531628
40.737737737737746,-17.009170651285622
40.86486486486487,-22.428364254149642
40.991991991991995,-20.060124109178318
41.11911911911912,-20.404856767695506
41.24624624624625,-41.04991212041183
41.373373373373376,-24.428337408104376
41.50050050050051,-23.13357203822119
41.627627627627625,-30.916268800541435
41.75475475475476,-17.220016241450878
41.88188188188188,-21.66995604131953
42.00900900900901,-32.09106639811942
42.136136136136145,-20.03060051251279
42.26326326326326,-21.362510391043486
42.390390390390394,-21.882337697718835
42.51751751751752,-18.22074485334887
42.64464464464465,-26.324582732532132
42.771771771771775,-20.25328383151335
42.8988988988989,-19.36587079838511
43.026026026026024,-25.12106764813353
43.153153153153156,-18.955930572961705
43.28028028028029,-24.943295170690327
43.40740740740741,-25.014074411917345
43.53453453453454,-18.25681185593055
43.66166166166166,-21.70113359803651
43.78878878878879,-26.29979737157675
43.91591591591592,-31.265357446781575
44.04304304304305,-20.589738375361094
44.17017017017017,-24.287667182384727
44.2972972972973,-18.6785480342771
44.42442442442442,-20.42426969837723
44.551551551551555,-17.545409000639125
44.678678678678686,-24.523715876469687
44.805805805805804,-23.75618284540564
44.932932932932935,-18.359229631974866
45.06006006006006,-26.450816982841573
45.18718718718719,-21.2943856651345
45.314314314314316,-23.735152703057018
45.44144144144144,-25.138905738169086
45.56856856856857,-19.902953737175388
45.6956956956957,-34.77009691104432
45.82282282282283,-22.101575743386626
45.94994994994995,-25.649909924441676
46.077077077077085,-20.569082643445658
46.20420420420421,-18.406932987209185
46.331331331331334,-19.574832759251233
46.45845845845846,-19.28071397768665
46.58558558558559,-19.20881044989514
46.712712712712715,-18.42710051958814
46.83983983983985,-27.375689394641288
46.966966966966964,-23.939797173400503
47.094094094094096,-29.044078889096717
47.22122122122123,-19.636008923098974
47.34834834834835,-18.759042580270567
47.475475475475484,-17.279915496180188
47.6026026026026,-24.895111351033634
47.72972972972973,-22.1323362891914
47.85685685685686,-22.42714815454979
47.98398398398399,-42.85823575490632
48.111111111111114,-17.44076327665326
48.23823823823824,-20.317381787818732
48.36536536536537,-17.229230274762955
48.492492492492495,-19.216362423999307
48.61961961961963,-25.216984418420296
48.74674674674675,-18.958334505421785
48.873873873873876,-23.952507322972984
49.001001001001,-21.663012180026996
49.12812812812813,-22.862577593653825
49.25525525525526,-20.347866982504783
49.38238238238239,-27.348931217174922
49.509509509509506,-32.28188039597821
49.63663663663664,-30.478309192287412
49.76376376376377,-23.289949836936295
49.890890890890894,-18.1053719810765
50.018018018018026,-18.822861985038436
50.14514514514514,-19.425034764330366
50.272272272272275,-19.881785821555937
50.3993993993994,-23.324516809672495
50.52652652652653,-21.306087675760477
50.653653653653656,-18.80303554252154
50.78078078078078,-16.901539260320668
50.90790790790791,-24.38411184335211
51.03503503503504,-25.20856782417819
51.16216216216217,-18.25582545813628
51.28928928928929,-22.714346369275553
51.41641641641642,-26.56157612971251
51.54354354354355,-22.01155822186433
51.670670670670674,-25.56587523125058
51.7977977977978,-23.535445193667798
51.92492492492493,-19.178763343330193
52.05205205205205,-22.56445226834565
52.17917917917919,-21.486148080652914
52.30630630630631,-20.86357556618944
52.433433433433436,-19.432442417778233
52.56056056056057,-18.509149057436613
52.687687687687685,-23.21275037389759
52.814814814814824,-24.38341767906956
52.94194194194194,-22.397832508921184
53.06906906906907,-19.14435261427393
53.1961961961962,-18.72642193536175
