Frequency[GHz],Transmittance
34.0,-23.62097848207614
34.12712712712713,-20.497819487525803
34.254254254254256,-18.810274062473965
34.38138138138138,-20.72974026350301
34.508508508508505,-21.831719602597325
34.63563563563564,-17.944068676712675
34.76276276276277,-21.114171140504588
34.88988988988989,-20.265330673259264
35.01701701701702,-21.63124797622961
35.14414414414414,-19.980152545759708
35.271271271271274,-21.625608860224922
35.3983983983984,-24.805399354647967
35.52552552552553,-26.015623215884283
35.65265265265265,-28.55358903903209
35.77977977977978,-22.873530738362927
35.90690690690691,-24.264239063590445
36.034034034034036,-16.687668270576516
36.16116116116117,-21.88919855469731
36.288288288288285,-21.330000749727247
36.41541541541542,-20.54766449724766
36.54254254254254,-23.002551507109132
36.66966966966967,-21.482329144204733
36.7967967967968,-20.269261865714192
36.92392392392393,-17.62887168582021
37.05105105105105,-21.87625325917179
37.17817817817818,-25.08497531034832
37.30530530530531,-31.329258374052294
37.432432432432435,-22.437470284163656
37.55955955955957,-25.46500704674294
37.686686686686684,-19.06751788905096
37.813813813813816,-19.91766788388493
37.94094094094094,-19.009620460536972
38.06806806806807,-20.213199432235257
38.1951951951952,-21.25601942401389
38.32232232232232,-19.76496621506014
38.44944944944945,-25.026922864688913
38.57657657657658,-19.67588439776755
38.70370370370371,-17.385053625214947
38.830830830830834,-18.625768493752943
38.957957957957966,-33.12266381963093
39.08508508508508,-23.96532034698399
39.212212212212215,-18.731058499851247
39.33933933933934,-32.12405356799086
39.46646646646647,-22.617949218640835
39.5935935935936,-20.94691180111281
39.72072072072072,-16.334447340327284
39.84784784784785,-24.617898924659105
39.97497497497498,-22.496823185984244
40.10210210210211,-21.587556597609087
40.22922922922923,-28.532056555645813
40.35635635635636,-27.90915935374536
40.48348348348348,-26.862326431974548
40.610610610610614,-21.098629395742506
40.737737737737746,-19.499378593273185
40.86486486486487,-22.837440954078055
40.991991991991995,-26.14546769010613
41.11911911911912,-26.817807048549277
41.24624624624625,-29.94396957933169
41.373373373373376,-18.65831682435655
41.50050050050051,-27.041941549018517
41.627627627627625,-26.346270392048588
41.75475475475476,-27.156994398509696
41.88188188188188,-22.110787987828644
42.00900900900901,-29.74013874127944
42.136136136136145,-23.804822629895924
42.26326326326326,-17.66776244459287
42.390390390390394,-15.945400642495187
42.51751751751752,-18.34372339205406
42.64464464464465,-17.486345094031773
42.771771771771775,-19.205892597367637
42.8988988988989,-20.348351302377846
43.026026026026024,-16.473608502312025
43.153153153153156,-17.58237325776004
43.28028028028029,-18.218390133022943
43.40740740740741,-35.19375219690981
43.53453453453454,-20.958674319499853
43.66166166166166,-17.171855800683804
43.78878878878879,-18.379188987546893
43.91591591591592,-24.91672538347098
44.04304304304305,-23.612966987508713
44.17017017017017,-21.231189774671083
44.2972972972973,-17.99341032679885
44.42442442442442,-28.189540544256744
44.551551551551555,-21.725192179192312
44.678678678678686,-25.50728822392102
44.805805805805804,-28.466079211520867
44.932932932932935,-22.00031738293808
45.06006006006006,-20.904499266805576
45.18718718718719,-28.67861801523898
45.314314314314316,-20.102020425234464
45.44144144144144,-23.180268976211757
45.56856856856857,-20.053955171346537
45.6956956956957,-20.19725011741158
45.82282282282283,-25.929744734088857
45.94994994994995,-26.651477354984383
46.077077077077085,-21.357086636376472
46.20420420420421,-27.42842353318131
46.331331331331334,-23.2969618216055
46.45845845845846,-26.446508157561528
46.58558558558559,-21.06111919715229
46.712712712712715,-17.984381681870715
46.83983983983985,-18.851964868780982
46.966966966966964,-19.04303408286895
47.094094094094096,-22.780144903264304
47.22122122122123,-31.1817501175064
47.34834834834835,-21.621919989049832
47.475475475475484,-28.033082780519525
47.6026026026026,-17.89717804224582
47.72972972972973,-17.707773891687438
47.85685685685686,-24.328382846923628
47.98398398398399,-19.460908540014948
48.111111111111114,-21.27511870664316
48.23823823823824,-18.65353913100484
48.36536536536537,-22.498691501648103
48.492492492492495,-27.993442332762825
48.61961961961963,-20.586605550598232
48.74674674674675,-24.011710195361864
48.873873873873876,-23.785468043993966
49.001001001001,-25.352338852236485
49.12812812812813,-18.96537619646228
49.25525525525526,-18.27145409400213
