Frequency[GHz],Transmittance_p,Transmittance_s
34.0,-4.458015648067894,-4.93884965551182
34.12712712712713,-4.4726772171894105,-4.901350004560305
34.254254254254256,-4.4857121791870815,-4.861682891994061
34.38138138138138,-4.497119968980354,-4.819848356036914
34.508508508508505,-4.506900120146961,-4.775846835672825
34.63563563563564,-4.515052253550379,-4.729679247107362
34.76276276276277,-4.521576067699703,-4.681347067830771
34.88988988988989,-4.526471330791236,-4.630852428933418
35.01701701701702,-4.529737874389921,-4.578198216379661
35.14414414414414,-4.531375588717349,-4.523388182004831
35.271271271271274,-4.531384419521392,-4.466427065060888
35.3983983983984,-4.52976436651093,-4.407320725199748
35.52552552552553,-4.526515483347444,-4.346076287848702
35.65265265265265,-4.521637879193333,-4.282702302998683
35.77977977977978,-4.5151317218252665,-4.217208918493582
35.90690690690691,-4.506997242328897,-4.149608068975173
36.034034034034036,-4.497234741399856,-4.079913681702466
36.16116116116117,-4.485844597284162,-4.008141900525332
36.288288288288285,-4.472827275399863,-3.9343113293463317
36.41541541541542,-4.458183339690493,-3.8584432964503748
36.54254254254254,-4.441913465769733,-3.780562141114831
36.66966966966967,-4.424018455925942,-3.7006955239290424
36.7967967967968,-4.404499256064588,-3.6188747622464885
36.92392392392393,-4.38335697467628,-3.535135192159085
37.05105105105105,-4.360592903928193,-3.4495165583141296
37.17817817817818,-4.336208542986888,-3.3620634327804932
37.30530530530531,-4.310205623691346,-3.2728256640033333
37.432432432432435,-4.282586138705945,-3.1818588566521373
37.55955955955957,-4.253352372294599,-3.0892248828533826
37.686686686686684,-4.222506933869072,-2.994992424890441
37.813813813813816,-4.190052794476467,-2.8992375489320588
37.94094094094094,-4.155993326403647,-2.802044308699934
38.06806806806807,-4.120332346088812,-2.703505377182265
38.1951951951952,-4.083074160543821,-2.6037227035261408
38.32232232232232,-4.044223617503925,-2.502808191072719
38.44944944944945,-4.0037861595351485,-2.400884391116373
38.57657657657658,-3.961767882342875,-2.2980852053531042
38.70370370370371,-3.918175597538655,-2.1945565881196423
38.830830830830834,-3.873016900135235,-2.0904572374048747
38.957957957957966,-3.8263002410525355,-1.9859592612406267
39.08508508508508,-3.778035004929169,-1.881248803463123
39.212212212212215,-3.7282315935449715,-1.7765266100125983
39.33933933933934,-3.6769015151697015,-1.6720085139591707
39.46646646646647,-3.6240574801607597,-1.5679258143910269
39.5935935935936,-3.569713503138278,-1.4645255212901198
39.72072072072072,-3.5138850120689,-1.3620704357034417
39.84784784784785,-3.4565889645882946,-1.2608390320866636
39.97497497497498,-3.3978439718878244,-1.1611251078885447
40.10210210210211,-3.3376704304801303,-1.0632371645330299
40.22922922922923,-3.276090662142002,-0.9674974842521424
40.35635635635636,-3.2131290623089144,-0.8742408690560645
40.48348348348348,-3.1488122571629145,-0.7838130118291149
40.610610610610614,-3.0831692696126103,-0.6965684754155579
40.737737737737746,-3.0162316943090555,-0.6128682638500922
40.86486486486487,-2.948033881772736,-0.5330769807321919
40.991991991991995,-2.8786131316222576,-0.4575595831279595
41.11911911911912,-2.8080098947928507,-0.38667775510067504
41.24624624624625,-2.73626798450958,-0.3207859425790371
41.373373373373376,-2.6634347956343243,-0.26022711007288374
41.50050050050051,-2.589561531833543,-0.20532829878372766
41.627627627627625,-2.5147034398141077,-0.15639608375035985
41.75475475475476,-2.438920049642866,-0.11371204347305502
41.88188188188188,-2.362275419901234,-0.0775283675689058
42.00900900900901,-2.284838386124553,-0.04806373508838973
42.136136136136145,-2.2066828106377305,-0.025499597052611865
42.26326326326326,-2.1278878315196743,-0.009976990799383953
42.390390390390394,-2.0485381080110434,-0.001594000600086035
42.51751751751752,-1.9687240592219324,-0.00040395905010427756
42.64464464464465,-1.8885420925005176,-0.006414457869017344
42.771771771771775,-1.8080948172945754,-0.01958720644884064
42.8988988988989,-1.727491239780619,-0.039838743666343504
43.026026026026024,-1.6468469329586475,-0.06704197528734532
43.153153153153156,-1.5662841763263078,-0.10102847793167474
43.28028028028029,-1.4859320586689362,-0.14159148304943273
43.40740740740741,-1.4059265369513299,-0.18848943231757354
43.53453453453454,-1.3264104437957922,-0.24144998041672577
43.66166166166166,-1.2475334356066028,-0.3001743128147103
43.78878878878879,-1.1694518730861982,-0.3643416448935388
43.91591591591592,-1.0923286257176454,-0.43361377391239164
44.04304304304305,-1.0163327918024883,-0.507639565885582
